date,location,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased
2020-11-02,US_NY_NYC,953,10,0,260263,19067
2020-11-03,US_NY,2321,15,0,513689,25853
2020-11-03,US_NY_NYC,903,12,0,261166,19079
2020-11-04,US_NY,2126,15,0,515815,25868
2020-11-04,US_NY_NYC,1112,9,0,262278,19088
2020-11-05,US_NY,2997,24,0,518812,25892
2020-11-05,US_NY_NYC,1139,9,0,263417,19097
2020-11-06,US_NY,3209,18,0,522021,25910
2020-11-06,US_NY_NYC,1036,10,0,264453,19107
2020-11-07,US_NY,3587,18,0,525608,25928
2020-11-07,US_NY_NYC,845,13,0,265298,19120
2020-11-08,US_NY,3428,19,0,529036,25947
2020-11-08,US_NY_NYC,788,8,0,266086,19128
2020-11-09,US_NY,3144,26,0,532180,25973
2020-11-09,US_NY_NYC,1545,5,0,267631,19133
2020-11-10,US_NY,3965,32,0,536145,26005
2020-11-10,US_NY_NYC,1598,8,0,269229,19141
2020-11-11,US_NY,4820,21,0,540965,26026
2020-11-11,US_NY_NYC,1538,9,0,270767,19150
2020-11-12,US_NY,4797,29,0,545762,26055
2020-11-12,US_NY_NYC,1501,16,0,272268,19166
2020-11-13,US_NY,5401,24,0,551163,26079
2020-11-13,US_NY_NYC,1495,6,0,273763,19172
2020-11-14,US_NY,5388,24,0,556551,26103
2020-11-14,US_NY_NYC,1026,9,0,274789,19181
2020-11-15,US_NY,3649,30,0,560200,26133
2020-11-15,US_NY_NYC,896,14,0,275685,19195
2020-11-16,US_NY,3490,26,0,563690,26159
2020-11-16,US_NY_NYC,1832,10,0,277517,19205
2020-11-17,US_NY,5088,30,0,568778,26189
2020-11-17,US_NY_NYC,1730,10,0,279247,19215
2020-11-18,US_NY,5294,36,0,574072,26225
2020-11-18,US_NY_NYC,1753,10,0,281000,19225
2020-11-19,US_NY,5310,32,0,579382,26257
2020-11-19,US_NY_NYC,1857,9,0,282857,19234
2020-11-20,US_NY,5468,35,0,584850,26292
2020-11-20,US_NY_NYC,1772,7,0,284629,19241
2020-11-21,US_NY,5972,34,0,590822,26326
2020-11-21,US_NY_NYC,1291,11,0,285920,19252
2020-11-22,US_NY,5392,31,0,596214,26357
2020-11-22,US_NY_NYC,1147,10,0,287067,19262
2020-11-23,US_NY,5906,33,0,602120,26390
2020-11-23,US_NY_NYC,2315,14,0,289382,19276
2020-11-24,US_NY,4881,51,0,607001,26441
2020-11-24,US_NY_NYC,2072,16,0,291454,19292
2020-11-25,US_NY,6265,41,0,613266,26482
2020-11-25,US_NY_NYC,2369,13,0,293823,19305
2020-11-26,US_NY,6933,67,0,620199,26549
2020-11-26,US_NY_NYC,807,7,0,294630,19312
2020-11-27,US_NY,8176,39,0,628375,26588
2020-11-27,US_NY_NYC,2296,15,0,296926,19327
2020-11-28,US_NY,6063,44,0,634438,26632
2020-11-28,US_NY_NYC,1786,14,0,298712,19341
2020-11-29,US_NY,6723,58,0,641161,26690
2020-11-29,US_NY_NYC,1728,15,0,300440,19356
2020-11-30,US_NY,6819,57,0,647980,26747
2020-11-30,US_NY_NYC,2802,18,0,303242,19374
2020-12-01,US_NY,7285,69,0,655265,26816
2020-12-01,US_NY_NYC,3137,20,0,306379,19394
2020-12-02,US_NY,8973,73,0,664238,26889
2020-12-02,US_NY_NYC,3007,27,0,309386,19421
2020-12-03,US_NY,9855,66,0,674093,26955
2020-12-03,US_NY_NYC,2876,18,0,312262,19439
2020-12-04,US_NY,11271,62,0,685364,27017
2020-12-04,US_NY_NYC,2809,26,0,315071,19465
2020-12-05,US_NY,10761,72,0,696125,27089
2020-12-05,US_NY_NYC,1884,23,0,316955,19488
2020-12-06,US_NY,9702,60,0,705827,27149
2020-12-06,US_NY_NYC,1754,21,0,318709,19509
2020-12-07,US_NY,7302,83,0,713129,27232
2020-12-07,US_NY_NYC,3302,19,0,322011,19528
2020-12-08,US_NY,9335,75,0,722464,27307
2020-12-08,US_NY_NYC,3060,22,0,325071,19550
2020-12-09,US_NY,10600,97,0,733064,27404
2020-12-09,US_NY_NYC,3107,27,0,328178,19577
2020-12-10,US_NY,10178,94,0,743242,27498
2020-12-10,US_NY_NYC,3148,25,0,331326,19602
2020-12-11,US_NY,10595,89,0,753837,27587
2020-12-11,US_NY_NYC,2976,30,0,334302,19632
2020-12-12,US_NY,11129,88,0,764966,27675
2020-12-12,US_NY_NYC,2206,34,0,336508,19666
2020-12-13,US_NY,10194,110,0,775160,27785
2020-12-13,US_NY_NYC,2176,26,0,338684,19692
2020-12-14,US_NY,9044,85,0,784204,27870
2020-12-14,US_NY_NYC,3576,30,0,342260,19722
2020-12-15,US_NY,10353,132,0,794557,28002
2020-12-15,US_NY_NYC,3679,32,0,345939,19754
2020-12-16,US_NY,9998,98,0,804555,28100
2020-12-16,US_NY_NYC,2783,39,0,348722,19793
2020-12-17,US_NY,10914,122,0,815469,28222
2020-12-17,US_NY_NYC,1923,35,0,350645,19828
2020-12-18,US_NY,12697,122,0,828166,28344
2020-12-18,US_NY_NYC,3428,39,0,354073,19867
2020-12-19,US_NY,9919,130,0,838085,28474
2020-12-19,US_NY_NYC,2555,31,0,356628,19898
2020-12-20,US_NY,9957,124,0,848042,28598
2020-12-20,US_NY_NYC,2348,29,0,358976,19927
2020-12-21,US_NY,9007,111,0,857049,28709
2020-12-21,US_NY_NYC,4335,41,0,363311,19968
2020-12-22,US_NY,9716,141,0,866765,28850
2020-12-22,US_NY_NYC,4097,53,0,367408,20021
2020-12-23,US_NY,11937,166,0,878702,29016
2020-12-23,US_NY_NYC,3844,39,0,371252,20060
2020-12-24,US_NY,12568,133,0,891270,29149
2020-12-24,US_NY_NYC,3012,39,0,374264,20099
2020-12-25,US_NY,12446,121,0,903716,29270
2020-12-25,US_NY_NYC,1046,39,0,375310,20138
2020-12-26,US_NY,10806,126,0,914522,29396
2020-12-26,US_NY_NYC,3453,37,0,378763,20175
2020-12-27,US_NY,7623,115,0,922145,29511
2020-12-27,US_NY_NYC,2886,44,0,381649,20219
2020-12-28,US_NY,10407,118,0,932552,29629
2020-12-28,US_NY_NYC,5387,43,0,387036,20262
2020-12-29,US_NY,11438,127,0,943990,29756
2020-12-29,US_NY_NYC,5204,50,0,392240,20312
2020-12-30,US_NY,13422,149,0,957412,29905
2020-12-30,US_NY_NYC,4982,40,0,397222,20352
2020-12-31,US_NY,16802,135,0,974214,30040
2020-12-31,US_NY_NYC,3390,41,0,400612,20393
2021-01-01,US_NY,16497,168,0,990711,30208
2021-01-01,US_NY_NYC,1336,36,0,401948,20429
2021-01-02,US_NY,15074,129,0,1005785,30337
2021-01-02,US_NY_NYC,4187,57,0,406135,20486
2021-01-03,US_NY,11368,139,0,1017153,30476
2021-01-03,US_NY_NYC,3453,38,0,409588,20524
2021-01-04,US_NY,11209,172,0,1028362,30648
2021-01-04,US_NY_NYC,6589,61,0,416177,20585
2021-01-05,US_NY,12666,154,0,1041028,30802
2021-01-05,US_NY_NYC,6149,65,0,422326,20650
2021-01-06,US_NY,16648,163,0,1057676,30965
2021-01-06,US_NY_NYC,5675,59,0,428001,20709
2021-01-07,US_NY,17636,199,0,1075312,31164
2021-01-07,US_NY_NYC,5432,52,0,433433,20761
2021-01-08,US_NY,18832,165,0,1094144,31329
2021-01-08,US_NY_NYC,5293,61,0,438726,20822
2021-01-09,US_NY,16943,190,0,1111087,31519
2021-01-09,US_NY_NYC,3689,72,0,442415,20894
2021-01-10,US_NY,15355,153,0,1126442,31672
2021-01-10,US_NY_NYC,3198,52,0,445613,20946
2021-01-11,US_NY,13714,169,0,1140156,31841
2021-01-11,US_NY_NYC,5907,59,0,451520,21005
2021-01-12,US_NY,15214,166,0,1155370,32007
2021-01-12,US_NY_NYC,5231,74,0,456751,21079
2021-01-13,US_NY,14577,168,0,1169947,32175
2021-01-13,US_NY_NYC,5172,67,0,461923,21146
2021-01-14,US_NY,13661,204,0,1183608,32379
2021-01-14,US_NY_NYC,5258,65,0,467181,21211
2021-01-15,US_NY,19942,187,0,1203550,32566
2021-01-15,US_NY_NYC,4837,63,0,472018,21274
2021-01-16,US_NY,15998,159,0,1219548,32725
2021-01-16,US_NY_NYC,3478,66,0,475496,21340
2021-01-17,US_NY,13842,172,0,1233390,32897
2021-01-17,US_NY_NYC,2918,56,0,478414,21396
2021-01-18,US_NY,12185,155,0,1245575,33052
2021-01-18,US_NY_NYC,4641,74,0,483055,21470
2021-01-19,US_NY,12512,172,0,1258087,33224
2021-01-19,US_NY_NYC,5141,82,0,488196,21552
2021-01-20,US_NY,13364,191,0,1271451,33415
2021-01-20,US_NY_NYC,4904,74,0,493100,21626
2021-01-21,US_NY,13886,179,0,1285337,33594
2021-01-21,US_NY_NYC,4938,63,0,498038,21689
2021-01-22,US_NY,15144,169,0,1300481,33763
2021-01-22,US_NY_NYC,4709,80,0,502747,21769
2021-01-23,US_NY,13786,144,0,1314267,33907
2021-01-23,US_NY_NYC,3274,78,0,506021,21847
2021-01-24,US_NY,12720,162,0,1326987,34069
2021-01-24,US_NY_NYC,2855,67,0,508876,21914
2021-01-25,US_NY,12003,173,0,1338990,34242
2021-01-25,US_NY_NYC,5659,65,0,514535,21979
2021-01-26,US_NY,11064,165,0,1350054,34407
2021-01-26,US_NY_NYC,4691,78,0,519226,22057
2021-01-27,US_NY,11028,172,0,1361082,34579
2021-01-27,US_NY_NYC,4780,90,0,524006,22147
2021-01-28,US_NY,13398,163,0,1374480,34742
2021-01-28,US_NY_NYC,4673,86,0,528679,22233
2021-01-29,US_NY,12579,151,0,1387059,34893
2021-01-29,US_NY_NYC,3670,88,0,532349,22321
2021-01-30,US_NY,12804,143,0,1399863,35036
2021-01-30,US_NY_NYC,2857,79,0,535206,22400
2021-01-31,US_NY,10793,142,0,1410656,35178
2021-01-31,US_NY_NYC,2891,74,0,538097,22474
2021-02-01,US_NY,8508,141,0,1419164,35319
2021-02-01,US_NY_NYC,975,65,0,539072,22539
2021-02-02,US_NY,8215,147,0,1427379,35466
2021-02-02,US_NY_NYC,2660,77,0,541732,22616
2021-02-03,US_NY,5925,165,0,1433304,35631
2021-02-03,US_NY_NYC,5143,75,0,546875,22691
2021-02-04,US_NY,7414,136,0,1440718,35767
2021-02-04,US_NY_NYC,4856,90,0,551731,22781
2021-02-05,US_NY,8777,153,0,1449495,35920
2021-02-05,US_NY_NYC,4157,82,0,555888,22863
2021-02-06,US_NY,11252,159,0,1460747,36079
2021-02-06,US_NY_NYC,3079,77,0,558967,22940
2021-02-07,US_NY,10025,145,0,1470772,36224
2021-02-07,US_NY_NYC,1647,78,0,560614,23018
2021-02-08,US_NY,8448,115,0,1479220,36339
2021-02-08,US_NY_NYC,4430,82,0,565044,23100
2021-02-09,US_NY,7866,142,0,1487086,36481
2021-02-09,US_NY_NYC,3730,71,0,568774,23171
2021-02-10,US_NY,7101,138,0,1494187,36619
2021-02-10,US_NY_NYC,3778,79,0,572552,23250
2021-02-11,US_NY,10099,124,0,1504286,36743
